text,retweet_count
 adbaanalytics twitterda dünneoldu konuşulan konular cencem cemned survivor sokağacikmayasaği nedcer,603
 gokhanozoguz abi şimdi çıkıyomuyuz çıkmıyomuyuz sokağacikmayasaği,314
 atakiizi bir acemi er yatakhanede sıkıştırılıyor ere devrecilik adı altında fiziki eziyet ediliyor paylaşalım gerekli yerlere u,191
 ressambob şuraya hafta içi dinlenip sadece hafta sonları bulaşan bir virüs çizelim sokağacikmayasaği httpstcosdkzuav,179
 tesklt real ayasofyanın ibadete açılmasına halk karar versin dedi bakalım ankette çıkacak fazla kişiye ulaşsınoy bini geç,150
 __kovboy sokağacikmayasaği geldiğinde yıınanlar şimdi yasak kalkınca kalktı lan gezizekalı donsuzlar emmeye gömmeye,150
 maliuludag_ baba tutuklu ev hanımı anne bircan erdem sabah ankarada gözaltında ardında aylık yaşlarında öksüz ye,150
 turanbulent dayı sen yapıyorsun yildirimkaya demokratiksiyaset dünyaçevregünü meclisteterörististemiyoruz darbeciakp,141
 tasdemir_cemile cumhurbaşkanımız sokağa çıkma yasağında halkının yanında olmayı tercih etti yasağı kaldırdı real sokağacikma,129
 themarglnale cumhurbaşkanı erdoğan vatandaşlarımızın taleplerini dinledi sokağa çıkma yasağını iptal etti milletinin isteklerine,120
 ceiaisengor burdan ülkeyi yöneten kişilere sesleniyorum whatsapp bir uygulama var indirin birbirinizle haberleşip mesajlaşabi,105
 redakbey başkanım haftasonu sokağacikmayasaği ilan edecekmiyiz httpstcowmcntbjzz,102
 okuryazariab yasak varken yasak var diyen kesim yasak kalkınca yasak kalktı isyan ediyor sizin derdiniz millet deği,100
 almirasu selam istanbul gaziosmanpaşa meydanda lc waikiki mağazasının yanında yalnız yaşıyorum gaziosmanpasa sultangazi,100
 resulbasibuyuk sokağacikmayasaği chpli ene berberoğlu hdpli leylagüven musa farisogullarının milletvekilliğinin düşmesi şerefi,100
 themarglnale dün korona hafta içi bulaşmıyor diyerek yasağı eleştirenler bugün cumhurbaşkanı erdoğan yasağı iptal edince iptal ka,100
 resulbasibuyuk çık diyor çıkıyoruz gir diyor giriyoruz kadar diktatör bir erkek cumhurbaşkanı erdoğan sokağacikmayasağinı,100
 deli_dalga_ videoyu iyi izleyin bir yaptığı paylaşıma bakın davutoğlu dün gelişme olursa olsun cumhurbaşkanımızın aleyhinde tek,100
 smyrna recep bey yasak koydu tayyip bey itiraz etti erdoğan bey yasağı iptal etti alın size tek adam rejimi sokağacikmayasaği,100
 akadirkaraduman bunlara leblebici dükkanı emanet edilmez prof dr necmettin erbakan sokağacikmayasaği,87
 sedefkabas sabah sokağa çıkma kararı verdim öğlen sokağa çıkma yasağını iptal kararı verdim sorsan ülkede tek adam r,84
 beyaziteren büyükşehir zonguldak sokağa çıkma yasağı var bakanlıklar şahsım sokağacikmayasaği httpstcopawjdfvaz,73
 pelinn sokağacikmayasaği tesekkuerlererdoğan sağlıkbakanlığı vay efendim erdoğan ayrı bir karar içişleri bakanı ayrı bir karar,72
 veyselkarane üveys zikrini yapan on binlerce kardeşimizin zikre başladığında hayatında nekadar güzelliklerlütuflar yaşadığını,69
 whoprofesor sokağacikmayasaği var yok sorularına karşı bakanlıkların tepkisi httpstcorjdccd,66
 kadirdogulu rica ediyorum işimiz gücümüz var kafam karıştı iptal mi değil mi sokağacikmayasaği,64
 hekicigelecek dün yasak yok bugün yasak var günde değişti iktidarın halkla dalga geçer uygulamaları aık sona ermeli,64
 mumine_fv sokağacikmayasaği yoktu hani vefali virüs ilin peşini bırakmıyor ilde yok ilde var hafta içi yok hafta sonu va,64
 eytdelisefer gece alınan sokağa çıkma yasağı kararı öğlen iptal edildi coranavirüsde sileyim sizin yapacağınız işi deyip ülkemi,62
 seroklc_ cumhurbaşkanı erdoğan karar değiştirdi vatandaşın talepleri doğrultusunda yaptı bunubu karar değişikliğini eleştirenle,61
 thelaikyobaz sokağa çıkma yasağı geldiğinde ooo böyle sürekli yasak geliyor ağlayanlar şimdi yasak kalkınca yasak kal,59
 keyifsadece son kararınız sokağacikmayasaği httpstcocekcytw,59
 ahmetakin elma dersem çık armut dersem çıkma allah aşkına böyle ülke yönetimimi olur bilim kurulu kaldı milletimizin sağlığ,57
 dogangtss sokağacikmayasaği kararı malum kişi tarafından iptal edilince aklıma görsel geldi httpstcowgtbkavcl,52
 uluhakan_ kısıtlamanın iptal olduğunu duyan il sakinleri sokağacikmayasaği httpstcossgyezdx,52
beynizimin ünü kullanirsak nolur sokağacikmayasaği httpstcoitrfuhp,50
 dincer_kul müslüman aleminin cuma bayramı hayırlıbereketlihuzur dolubol ibadetli geçsinallahcc devletimizimilletimizi kötül,50
 nurhandas yer yerinden oynadı sen içimden milim kaymadın protestoediyorum aık gelsene nurhandas sokağacikmayasağ,50
 duyguu bir sıçan bile bütün risklere rağmen öleceğini bile bile hergün dışarı çıkıp besin bulmak zorundadır insanlara evdekal dem,50
 nlf günaydın ben geldim biliyorum biraz geç kalsam kaldı merak ediyorsunuz işte bende geliyorum buradayım arkadaşlar he,50
 uyanhadi_ sokağa çıkma yasağı uygulayacak kadar tehlikeli milyonlarca üniversite adayını sınavda etkilemeyecek kadar tehlikesiz virüs,50
sokağa çıkma yasağı olmadığını sokağı boş görünce anladım yasak sokağacikmayasaği,50
