text,retweet_count
 afyonbelediyesk tb meksa yatırım afyon belediyespor arel üniversitesi büyükçekmece afyonbasketboluseviyor httpstcorhqywpp,2
 ogrencidekani çocukların yeri eğitim öğretim yuvaları parklardır hazirandünyaçocukişçiliğiylemücadelegünü areledu ogrencidek,2
 yandimkaldim harika bir program oldu emeği geçen herkese sonsuz teşekkürler dijitalfarkindalik dijitalfarkındalık istanbul arel,2
merhaba arel yaş aktif pasif oluyorum izmir kusadasıgay bornovagay alsancakgay httpstcoegaafxq,1
rrabrusun cintankri idtodayco mr___n_____ hisyammochtar hp_arel nadine_oliv sama² ade,1
radyosivrisinek kafaradyo radyoland yılönceben liseyi yeni bitirdim istanbul arel üniversitesini kazandım httpstcotbsfmjfch,1
pekiiiozamaan bbarisgunes yankı arel,1
onlara ihtiyacın olduğu zaman kaybolurlar sürekli kendileri hakkında konuşurlar senin hatalarını başarısızlı httpstcoifuowkn,1
odanızı aesthetic hale getirmek ipuçları httpstcopfigfjwcz,1
odandaki bir köşeye duvar sepetleri yapabilirsin,1
